source,target,group
UNMISS: United Nations Mission in the Republic of South Sudan (2011-),Military Forces of Uganda (1986-),9
Ayual Ethnic Militia (South Sudan),Ayual Ethnic Militia (South Sudan),42
Yau Yau Rebels,Civilians (Sudan),27
Zande Ethnic Militia (South Sudan),Dinka Ethnic Militia (South Sudan),33
TFNF: Tiger Faction New Forces,Civilians (South Sudan),22
Lou Nuer Ethnic Militia (South Sudan),Civilians (Sudan),3
Lou Nuer Ethnic Militia (South Sudan),Military Forces of South Sudan (2011-),1
NDA: National Democratic Alliance,Military Forces of Sudan (1989-),8
SPLA/M: Sudanese Peoples Liberation Army/Movement,SSDF: South Sudan Defence Forces,9
SAF: Sudan Alliance Forces,Military Forces of Sudan (1989-),2
NDA: National Democratic Alliance,Civilians (Sudan),1
Military Forces of Eritrea (1993-),Civilians (Sudan),16
Unidentified Ethnic Militia (Sudan),Unidentified Ethnic Militia (Sudan),15
SPLA/M: Sudanese Peoples Liberation Army/Movement,SPLA/M-Bahr al Ghazal: Sudanese Peoples Liberation Army/Movement (Bahr al Ghazal Faction),9
NLA: National Liberation Army,Military Forces of Sudan (1989-),2
Tutsi Ethnic Militia (Democratic Republic of Congo),Civilians (Sudan),1
SPLA/M: Sudanese Peoples Liberation Army/Movement,LRA: Lords Resistance Army,6
NIF: National Islamic Front,Military Forces of Sudan (1989-),4
SPLA/M: Sudanese Peoples Liberation Army/Movement,PDF: Popular Defence Forces,3
SPLA/M: Sudanese Peoples Liberation Army/Movement,Civilians (Sudan),20
Rioters (Sudan),Military Forces of Sudan (1989-),18
Military Forces of Sudan (1989-),SAF: Sudan Alliance Forces,26
Abu Darak Clan Militia (Sudan),Habbaniyah Ethnic Militia (Sudan),1
ULA: Ummah Liberation Army,Military Forces of Sudan (1989-),5
SPLA/M: Sudanese Peoples Liberation Army/Movement,Yusuf al-Sayyid Militia,5
SSDF: South Sudan Defence Forces,Militia (Matiep),12
SPLA/M-Bahr al Ghazal: Sudanese Peoples Liberation Army/Movement (Bahr al Ghazal Faction),SPLA/M: Sudanese Peoples Liberation Army/Movement,16
NSB: New Sudan Brigade,Civilians (Sudan),2
SSDF-Machar: South Sudan Defence Forces (Machar Faction),SSUA: Southern Sudan United Army,1
SSDF: South Sudan Defence Forces,SSDF: South Sudan Defence Forces,16
SPLA/M: Sudanese Peoples Liberation Army/Movement,NIF: National Islamic Front,2
SSDF: South Sudan Defence Forces,Military Forces of Sudan (1989-),2
Militia (Matiep),Military Forces of Sudan (1989-),1
Kassala Martyr Militia,Civilians (Sudan),16
SPLA/M: Sudanese Peoples Liberation Army/Movement,Unidentified Armed Group (Sudan),13
SSDF-Machar: South Sudan Defence Forces (Machar Faction),Civilians (Sudan),1
Byel Militia,Civilians (Sudan),7
Byel Militia,Military Forces of Sudan (1989-),1
SSDF-Byel: South Sudan Defence Forces (Byel Faction),Militia (Matiep),2
SSDF-Machar: South Sudan Defence Forces (Machar Faction),Militia (Matiep),3
Messalit Ethnic Militia (Kenya),Rizaygat Ethnic Militia (Sudan),2
Nuba Ethnic Militia (Sudan),Civilians (Sudan),10
Nuba Ethnic Militia (Sudan),Nuer Ethnic Militia (Sudan),1
SSDF-Byel: South Sudan Defence Forces (Byel Faction),Military Forces of Sudan (1989-),24
SPLA/M: Sudanese Peoples Liberation Army/Movement,Civilians (International),2
Muslim Militia (Sudan),Civilians (Sudan),6
Murahaleen Ethnic Militia (Sudan),Civilians (Sudan),9
SSDF-Machar: South Sudan Defence Forces (Machar Faction),SSDF: South Sudan Defence Forces,2
SPLA/M-Bahr al Ghazal: Sudanese Peoples Liberation Army/Movement (Bahr al Ghazal Faction),Militia (Matiep),6
SSDF-Machar: South Sudan Defence Forces (Machar Faction),Murle Ethnic Militia (Sudan),2
BC: Beja Congress,Military Forces of Sudan (1989-),12
Militia (Matiep),Civilians (Sudan),1
SPLA/M: Sudanese Peoples Liberation Army/Movement,SSUA-Gadet: Southern Sudan United Army (Gadet Faction),11
Baggara-Murahaleen Ethnic Militia (Sudan),SPLA/M: Sudanese Peoples Liberation Army/Movement,2
Military Forces of Sudan (1989-),Police Forces of Sudan (1989-),1
Unidentified Armed Group (Sudan),Militia (Matiep),22
Dinka Ethnic Militia (Sudan),Shilluk Ethnic Militia (Sudan),17
Al-Takfir wal Hijrah,Civilians (Sudan),12
SPLA/M: Sudanese Peoples Liberation Army/Movement,Militia (Matiep),6
Arab Ethnic Militia (Sudan),Fur Ethnic Militia (Sudan),2
NDA: National Democratic Alliance,Militia (Matiep),3
SPDF: Sudan Peoples Democratic Front,SSDF: South Sudan Defence Forces,7
SPLA/M: Sudanese Peoples Liberation Army/Movement,Arab Ethnic Militia (Sudan),4
Turkana Ethnic Militia (Sudan),Civilians (Sudan),11
SPLA/M: Sudanese Peoples Liberation Army/Movement,Police Forces of Sudan (1989-),6
PNC: Popular National Congress Party,Police Forces of Sudan (1989-),8
Zaghawa Ethnic Militia (Sudan),Arab Ethnic Militia (Sudan),19
SPDF: Sudan Peoples Democratic Front,Civilians (Sudan),10
SPLA/M: Sudanese Peoples Liberation Army/Movement,SPLA/M: Sudanese Peoples Liberation Army/Movement,12
Murle Ethnic Militia (Sudan),Civilians (Sudan),60
BC: Beja Congress,Civilians (Sudan),3
Nuer Ethnic Militia al-Nowair (Sudan),Nuer Ethnic Militia al-Nowair (Sudan),32
Military Forces of Sudan (1989-),SLM/A: Sudan Liberation Movement/Army,2
SLM/A: Sudan Liberation Movement/Army,Civilians (Sudan),35
Military Forces of Uganda (1986-),Civilians (Sudan),9
Islamist Militia (Sudan),Civilians (Sudan),2
Beni Amir Ethnic Militia (Sudan),Norab Ethnic Militia (Sudan),7
SLM/A: Sudan Liberation Movement/Army,Police Forces of Sudan (1989-),6
SLM/A: Sudan Liberation Movement/Army,JEM: Justice and Equality Movement,3
Kababeesh Ethnic Militia (Sudan),Berti Ethnic Militia (Sudan),5
Darfur Liberation Front,Military Forces of Sudan (1989-),3
LRA: Lords Resistance Army,Equatoria Defence Force,26
JEM: Justice and Equality Movement,Rizaygat Ethnic Militia (Sudan),34
LRA: Lords Resistance Army,SPLA/M: Sudanese Peoples Liberation Army/Movement,28
SLM/A: Sudan Liberation Movement/Army,Arab Ethnic Militia (Sudan),13
SLM/A: Sudan Liberation Movement/Army,Civilians (Nigeria),1
SLM/A: Sudan Liberation Movement/Army,Janjaweed,8
SLM/A: Sudan Liberation Movement/Army,Um Kutkout Communal Militia (Sudan),14
Rizaygat Ethnic Militia (Sudan),Burgo Ethnic Militia (Sudan),8
LRA: Lords Resistance Army,Vigilante Militia (Sudan),6
SLM/A: Sudan Liberation Movement/Army,LRA: Lords Resistance Army,90
Unidentified Armed Group (Sudan),AMIS: African Union Mission in Sudan (2004-2007),56
Unidentified Armed Group (Sudan),SLM/A: Sudan Liberation Movement/Army,8
Janjaweed,SLM/A: Sudan Liberation Movement/Army,1
Unidentified Armed Group (Sudan),Military Forces of Southern Sudan (2005-2011),23
LRA: Lords Resistance Army,Civilians (International),16
Dinka Ethnic Militia (Sudan),Moru Ethnic Militia (Sudan),3
Unidentified Armed Group (Sudan),Misseriya Ethnic Militia (Sudan),9
Janjaweed,UNMIS: United Nations Mission in Sudan (2005-2011),13
Janjaweed,AMIS: African Union Mission in Sudan (2004-2007),1
LRA: Lords Resistance Army,Military Forces of Sudan (1989-),12
Military Forces of Sudan (1989-),NMRD: National Movement for Reform and Development,1
JEM: Justice and Equality Movement,Civilians (International),5
Hotiya-Baggara Ethnic Militia (Somalia),Newiba-Aballa Ethnic Militia (Sudan),4
Dajo Communal Militia (Sudan),Civilians (Sudan),3
Military Forces of Sudan (1989-),AMIS: African Union Mission in Sudan (2004-2007),1
SLM/A: Sudan Liberation Movement/Army,AMIS: African Union Mission in Sudan (2004-2007),8
JEM: Justice and Equality Movement,Unidentified Ethnic Militia (Sudan),3
Unidentified Armed Group (Sudan),Unidentified Ethnic Militia (Sudan),1
Dinka Ethnic Militia (Sudan),Nuer Ethnic Militia (Sudan),5
SLM/A: Sudan Liberation Movement/Army,Unidentified Armed Group (Sudan),6
SLM/A-Minnawi: Sudan Liberation Movement/Army (Minnawi Faction),Civilians (Sudan),2
Military Forces of Sudan (1989-),Military Forces of Southern Sudan (2005-2011),1
JEM: Justice and Equality Movement,SLM/A-Minnawi: Sudan Liberation Movement/Army (Minnawi Faction),2
NRF: National Redemption Front,Military Forces of Sudan (1989-),4
SSDF: South Sudan Defence Forces,Military Forces of Southern Sudan (2005-2011),11
SLM/A-Minnawi: Sudan Liberation Movement/Army (Minnawi Faction),SLM/A: Sudan Liberation Movement/Army,2
Military Forces of Sudan (1989-),NRF: National Redemption Front,4
Military Forces of Sudan (1989-),SSDF: South Sudan Defence Forces,5
Eastern Front,Military Forces of Sudan (1989-),10
AMIS: African Union Mission in Sudan (2004-2007),Rioters (Sudan),9
Military Forces of Southern Sudan (2005-2011),Military Forces of Sudan (1989-),1
AMIS: African Union Mission in Sudan (2004-2007),Unidentified Armed Group (Sudan),8
Murle Ethnic Militia (Sudan),Nuer Ethnic Militia (Sudan),2
Rizaygat Ethnic Militia (Sudan),Terjem Ethnic Militia (Sudan),4
UNMIS: United Nations Mission in Sudan (2005-2011),Civilians (Sudan),1
Military Forces of Sudan (1989-),Civilians (Uganda),5
SLM/A-Minnawi: Sudan Liberation Movement/Army (Minnawi Faction),AMIS: African Union Mission in Sudan (2004-2007),2
Military Forces of Sudan (1989-),SLM/A-Unity: Sudan Liberation Movement/Army (Unity Faction),20
AMIS: African Union Mission in Sudan (2004-2007),Military Forces of Sudan (1989-),3
LRA: Lords Resistance Army,Military Forces of Southern Sudan (2005-2011),7
SLM/A-Unity: Sudan Liberation Movement/Army (Unity Faction),Police Forces of Sudan (1989-),1
Dinka Agar Ethnic Militia (Sudan),Dinka Ngok Ethnic Militia (Sudan),5
JEM-UFN: Justice and Equality Movement (Unity Faction Nur),JEM: Justice and Equality Movement,2
Protesters (Sudan),Military Forces of Sudan (1989-),2
Toposa Ethnic Militia (Sudan),Military Forces of Uganda (1986-),1
Military Forces of Southern Sudan (2005-2011),Dar Naila Ethnic Militia (Sudan),1
Misseriya Ethnic Militia (Sudan),Military Forces of Southern Sudan (2005-2011),5
SLM/A-Unity: Sudan Liberation Movement/Army (Unity Faction),Military Forces of Sudan (1989-),1
Unidentified Armed Group (Sudan),JEM: Justice and Equality Movement,4
SLM/A-Unity: Sudan Liberation Movement/Army (Unity Faction),Civilians (Sudan),7
Unidentified Armed Group (Sudan),Rioters (Sudan),21
Dinka Nyang Ethnic Militia (Sudan),Dinka Joth Ethnic Militia (Sudan),4
Military Forces of Southern Sudan (2005-2011),UNMIS: United Nations Mission in Sudan (2005-2011),9
Rizaygat Ethnic Militia (Sudan),JEM: Justice and Equality Movement,6
Nuer Ethnic Militia (Sudan),Nuer Ethnic Militia (Sudan),13
Military Forces of Sudan (1989-),Military Forces of Ethiopia (1991-),1
Jie Ethnic Militia (Sudan),Civilians (Sudan),1
Dinka Agar Ethnic Militia (Sudan),Dinka Nyang Ethnic Militia (Sudan),1
Gimir Ethnic Militia (Sudan),Gimir Ethnic Militia (Sudan),2
Military Forces of Ethiopia (1991-),Military Forces of Sudan (1989-),4
Janjaweed,UNAMID: United Nations/African Union Hybrid Operation in Darfur (2007-),1
Dinka Ethnic Militia (Sudan),Dinka Joth Ethnic Militia (Sudan),2
Military Forces of Southern Sudan (2005-2011),Private Security Forces (South Sudan),6
Police Forces of Southern Sudan (2005-2011),Civilians (Sudan),17
Military Forces of Southern Sudan (2005-2011),Police Forces of Southern Sudan (2005-2011),3
JEM: Justice and Equality Movement,Police Forces of Sudan (1989-),6
JEM: Justice and Equality Movement,UNAMID: United Nations/African Union Hybrid Operation in Darfur (2007-),1
LRA: Lords Resistance Army,LRA: Lords Resistance Army,6
Unidentified Armed Group (Ethiopia),Police Forces of Sudan (1989-),2
Hawazmah Ethnic Militia (Sudan),Al-Falata Ethnic Militia (Sudan),2
Unidentified Armed Group (Sudan),Al-Gamir Ethnic Militia (Sudan),1
Unidentified Armed Group (Sudan),LRA: Lords Resistance Army,4
Murle Ethnic Militia (Sudan),SPLA/M: Sudanese Peoples Liberation Army/Movement,3
Military Forces of Southern Sudan (2005-2011),Dinka Ethnic Militia (Sudan),2
Janjaweed,JEM: Justice and Equality Movement,1
Shilluk Ethnic Militia (Sudan),Dinka Ethnic Militia (Sudan),11
Private Security Forces (Sudan),Private Security Forces (Sudan),1
Military Forces of Southern Sudan (2005-2011),Civilians (Sudan),8
Dinka Ethnic Militia (Sudan),Mundari Ethnic Militia (Sudan),1
Military Forces of Sudan (1989-),UNAMID: United Nations/African Union Hybrid Operation in Darfur (2007-),4
Shilluk Ethnic Militia (Sudan),Civilians (Sudan),5
UNAMID: United Nations/African Union Hybrid Operation in Darfur (2007-),Unidentified Armed Group (Sudan),7
Dinka Ethnic Militia (Sudan),Jur Ethnic Militia (Sudan),4
Lou Nuer Ethnic Militia (Sudan),Civilians (Sudan),1
Unidentified Armed Group (Sudan),Murle Ethnic Militia (Ethiopia),2
LRA: Lords Resistance Army,Police Forces of Sudan (1989-),6
Mundari Ethnic Militia (Sudan),Dinka Ethnic Militia (Sudan),3
Bari Ethnic Militia (Sudan),Mundari Ethnic Militia (Sudan),6
Arrow Boys Militia,LRA: Lords Resistance Army,8
Rioters (Sudan),NCP: National Congress Party,2
Lou Nuer Ethnic Militia (Sudan),Jikany Ethnic Militia (Sudan),15
Dinka Ethnic Militia (Sudan),Murle Ethnic Militia (Sudan),10
SLM/A-Minnawi: Sudan Liberation Movement/Army (Minnawi Faction),JEM: Justice and Equality Movement,1
Luach Jang Ethnic Militia (Sudan),Civilians (Sudan),1
LRA: Lords Resistance Army,Gariya Communal Militia (Sudan),1
Hawazmah Ethnic Militia (Sudan),Civilians (Sudan),3
Lou Nuer Ethnic Militia (Sudan),Murle Ethnic Militia (Sudan),11
Dinka Ethnic Militia (Sudan),Apuk Ethnic Militia (Sudan),6
Western Equatoria Community Defence Force,LRA: Lords Resistance Army,5
Freedom Eagles of Africa,Civilians (Sudan),1
Military Forces of Southern Sudan (2005-2011),Gatluak Gai Rebel Group,13
Military Forces of Southern Sudan (2005-2011),Gwang Rebel Group,1
Militia (Pro-Government),Military Forces of Southern Sudan (2005-2011),3
Dinka Ethnic Militia (Sudan),Dinka Ethnic Militia (Sudan),2
Unidentified Armed Group (Sudan),Yirol Communal Militia (Sudan),3
LRA: Lords Resistance Army,LJM: Liberation and Justice Movement,3
Military Forces of Southern Sudan (2005-2011),Unidentified Armed Group (Sudan),3
Military Forces of Southern Sudan (2005-2011),Murle Ethnic Militia (Sudan),1
Misseriya Ethnic Militia (Sudan),Nuwayba Ethnic Militia (Sudan),3
Police Forces of Sudan (1989-),JEM: Justice and Equality Movement,6
Nuer Ethnic Militia (Sudan),Awlad Omran Ethnic Militia (Sudan),2
Military Forces of Southern Sudan (2005-2011),Misseriya Ethnic Militia (Sudan),1
Nuer Ethnic Militia (Sudan),Dinka Ethnic Militia (Sudan),12
PDF: Popular Defence Forces,Police Forces of Sudan (1989-),3
Unidentified Armed Group (Sudan),UNMIS: United Nations Mission in Sudan (2005-2011),3
SPLM-DC: Sudanese Peoples Liberation Movement (Democratic Change),Military Forces of Southern Sudan (2005-2011),6
Military Forces of Sudan (1989-),URFF: United Revolutionary Forces Front,2
Military Forces of Southern Sudan (2005-2011),Military Forces of Southern Sudan (2005-2011),10
Military Forces of Southern Sudan (2005-2011),George Athor Deng Rebel Group,7
Peoples Struggle Movement,Civilians (International),21
Misseriya Ethnic Militia (Sudan),Police Forces of Sudan (1989-),4
Misseriya Ethnic Militia (Sudan),Dinka Ngok Ethnic Militia (Sudan),6
Cueibet Communal Militia (Sudan),Civilians (Sudan),12
Unidentified Armed Group (Sudan),UNISFA: United Nations Interim Security Force for Abyei (2011-),4
Military Forces of Southern Sudan (2005-2011),Militia (Pro-Government),6
Ayeul Ethnic Militia (Sudan),Dacuek Ethnic Militia (Sudan),1
Murle Ethnic Militia (Sudan),Lou Nuer Ethnic Militia (Sudan),4
SSLM/A: South Sudan Liberation Movement/Army,Military Forces of Southern Sudan (2005-2011),1
Military Forces of Israel,Civilians (Sudan),19
Dinka Ngok Ethnic Militia (Sudan),Jul-bel Ethnic Militia (Sudan),1
Military Forces of Sudan (1989-),Nuba Ethnic Militia (Sudan),3
Military Forces of Southern Sudan (2005-2011),Olonyi Rebel Group,4
Police Forces of Sudan (1989-),Military Forces of Southern Sudan (2005-2011),4
